tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,670,earthquake,6.6, Solomon Islands,166.09,-11.612,35.0,2009-08-10,04:06:31+00:00
0,1248,earthquake,7.5, India,92.902,14.099,24.0,2009-08-10,19:55:38.730000+00:00
0,889,earthquake,6.2, Japan,138.264,34.743,40.4,2009-08-10,20:07:09.110000+00:00
0,703,earthquake,6.6, Japan,140.395,32.821,53.0,2009-08-12,22:48:51.420000+00:00
0,753,earthquake,6.7, Indonesia,99.49,-1.479,20.0,2009-08-16,07:38:21.700000+00:00
0,704,earthquake,6.7, Japan,123.499,23.501,20.0,2009-08-17,00:05:49.030000+00:00
0,572,earthquake,6.1, Japan,123.516,23.426,15.0,2009-08-17,10:10:56.500000+00:00
0,611,earthquake,6.3,south of the Fiji Islands,-178.391,-26.064,269.8,2009-08-18,21:20:47.550000+00:00
0,554,earthquake,6.0,Norwegian Sea,0.944,72.2,6.0,2009-08-20,06:35:04.430000+00:00
0,736,earthquake,6.9, Indonesia,123.427,-7.146,642.4,2009-08-28,01:51:20.400000+00:00
0,611,earthquake,6.3, China,95.718,37.696,13.0,2009-08-28,01:52:06.640000+00:00
0,688,earthquake,6.6, Tonga,-172.571,-15.223,11.0,2009-08-30,14:51:32.890000+00:00
0,1175,earthquake,7.0, Indonesia,107.297,-7.782,46.0,2009-09-02,07:55:01.050000+00:00
